time_step,method,feature_mode,num_pedestrians,num_clusters,raw_num_clusters,used_fallback,runtime_sec,window_size,beta,n_clusters_param,dist_threshold,vel_threshold,sigma_d,sigma_v
1600,relation_graph,temporal_relation,32,4,4,0,0.007148027420043945,5,0.7,3,2.5,0.2,2.0,0.1
1610,relation_graph,temporal_relation,32,4,4,0,0.00711512565612793,5,0.7,3,2.5,0.2,2.0,0.1
1620,relation_graph,temporal_relation,34,5,5,0,0.007786273956298828,5,0.7,3,2.5,0.2,2.0,0.1
1630,relation_graph,temporal_relation,34,2,2,0,0.007984161376953125,5,0.7,3,2.5,0.2,2.0,0.1
1640,relation_graph,temporal_relation,35,3,3,0,0.008392572402954102,5,0.7,3,2.5,0.2,2.0,0.1
1650,relation_graph,temporal_relation,35,3,3,0,0.008566856384277344,5,0.7,3,2.5,0.2,2.0,0.1
1660,relation_graph,temporal_relation,36,3,3,0,0.009037256240844727,5,0.7,3,2.5,0.2,2.0,0.1
1670,relation_graph,temporal_relation,37,4,4,0,0.009439945220947266,5,0.7,3,2.5,0.2,2.0,0.1
1680,relation_graph,temporal_relation,38,5,5,0,0.013741731643676758,5,0.7,3,2.5,0.2,2.0,0.1
1690,relation_graph,temporal_relation,40,5,5,0,0.016788005828857422,5,0.7,3,2.5,0.2,2.0,0.1
1700,relation_graph,temporal_relation,40,3,3,0,0.01089334487915039,5,0.7,3,2.5,0.2,2.0,0.1
1710,relation_graph,temporal_relation,40,5,5,0,0.010995626449584961,5,0.7,3,2.5,0.2,2.0,0.1
1720,relation_graph,temporal_relation,40,5,5,0,0.011115789413452148,5,0.7,3,2.5,0.2,2.0,0.1
1730,relation_graph,temporal_relation,43,4,4,0,0.012380123138427734,5,0.7,3,2.5,0.2,2.0,0.1
1740,relation_graph,temporal_relation,44,3,3,0,0.01261138916015625,5,0.7,3,2.5,0.2,2.0,0.1
1750,relation_graph,temporal_relation,44,2,2,0,0.012515068054199219,5,0.7,3,2.5,0.2,2.0,0.1
1760,relation_graph,temporal_relation,46,4,4,0,0.018878698348999023,5,0.7,3,2.5,0.2,2.0,0.1
1770,relation_graph,temporal_relation,47,4,4,0,0.018263816833496094,5,0.7,3,2.5,0.2,2.0,0.1
1780,relation_graph,temporal_relation,44,4,4,0,0.012667179107666016,5,0.7,3,2.5,0.2,2.0,0.1
1790,relation_graph,temporal_relation,43,5,5,0,0.012274026870727539,5,0.7,3,2.5,0.2,2.0,0.1
1800,relation_graph,temporal_relation,42,4,4,0,0.012064933776855469,5,0.7,3,2.5,0.2,2.0,0.1
1810,relation_graph,temporal_relation,42,3,3,0,0.012276649475097656,5,0.7,3,2.5,0.2,2.0,0.1
1820,relation_graph,temporal_relation,44,4,4,0,0.019547224044799805,5,0.7,3,2.5,0.2,2.0,0.1
1830,relation_graph,temporal_relation,43,3,3,0,0.017489194869995117,5,0.7,3,2.5,0.2,2.0,0.1
1840,relation_graph,temporal_relation,43,4,4,0,0.013200044631958008,5,0.7,3,2.5,0.2,2.0,0.1
1850,relation_graph,temporal_relation,45,5,5,0,0.013798236846923828,5,0.7,3,2.5,0.2,2.0,0.1
1860,relation_graph,temporal_relation,43,6,6,0,0.012378692626953125,5,0.7,3,2.5,0.2,2.0,0.1
1870,relation_graph,temporal_relation,44,6,6,0,0.012846946716308594,5,0.7,3,2.5,0.2,2.0,0.1
1880,relation_graph,temporal_relation,44,5,5,0,0.012952804565429688,5,0.7,3,2.5,0.2,2.0,0.1
1890,relation_graph,temporal_relation,44,4,4,0,0.017713546752929688,5,0.7,3,2.5,0.2,2.0,0.1
1900,relation_graph,temporal_relation,44,4,4,0,0.016288280487060547,5,0.7,3,2.5,0.2,2.0,0.1
1910,relation_graph,temporal_relation,46,6,6,0,0.014227628707885742,5,0.7,3,2.5,0.2,2.0,0.1
1920,relation_graph,temporal_relation,46,5,5,0,0.014468669891357422,5,0.7,3,2.5,0.2,2.0,0.1
1930,relation_graph,temporal_relation,46,7,7,0,0.014533519744873047,5,0.7,3,2.5,0.2,2.0,0.1
1940,relation_graph,temporal_relation,44,8,8,0,0.013372421264648438,5,0.7,3,2.5,0.2,2.0,0.1
1950,relation_graph,temporal_relation,42,6,6,0,0.013995885848999023,5,0.7,3,2.5,0.2,2.0,0.1
1960,relation_graph,temporal_relation,42,6,6,0,0.016771554946899414,5,0.7,3,2.5,0.2,2.0,0.1
1970,relation_graph,temporal_relation,42,6,6,0,0.014697074890136719,5,0.7,3,2.5,0.2,2.0,0.1
1980,relation_graph,temporal_relation,43,5,5,0,0.012566089630126953,5,0.7,3,2.5,0.2,2.0,0.1
1990,relation_graph,temporal_relation,42,4,4,0,0.012049674987792969,5,0.7,3,2.5,0.2,2.0,0.1
2000,relation_graph,temporal_relation,41,4,4,0,0.011647462844848633,5,0.7,3,2.5,0.2,2.0,0.1
2010,relation_graph,temporal_relation,47,4,4,0,0.014022111892700195,5,0.7,3,2.5,0.2,2.0,0.1
2020,relation_graph,temporal_relation,47,4,4,0,0.01651740074157715,5,0.7,3,2.5,0.2,2.0,0.1
2030,relation_graph,temporal_relation,47,4,4,0,0.02036762237548828,5,0.7,3,2.5,0.2,2.0,0.1
2040,relation_graph,temporal_relation,47,4,4,0,0.015169143676757812,5,0.7,3,2.5,0.2,2.0,0.1
2050,relation_graph,temporal_relation,49,4,4,0,0.015826702117919922,5,0.7,3,2.5,0.2,2.0,0.1
2060,relation_graph,temporal_relation,47,4,4,0,0.01484227180480957,5,0.7,3,2.5,0.2,2.0,0.1
2070,relation_graph,temporal_relation,47,6,6,0,0.015104293823242188,5,0.7,3,2.5,0.2,2.0,0.1
2080,relation_graph,temporal_relation,45,5,5,0,0.01641058921813965,5,0.7,3,2.5,0.2,2.0,0.1
2090,relation_graph,temporal_relation,43,4,4,0,0.018724918365478516,5,0.7,3,2.5,0.2,2.0,0.1
2100,relation_graph,temporal_relation,42,4,4,0,0.014127731323242188,5,0.7,3,2.5,0.2,2.0,0.1
2110,relation_graph,temporal_relation,41,4,4,0,0.011796236038208008,5,0.7,3,2.5,0.2,2.0,0.1
2120,relation_graph,temporal_relation,40,6,6,0,0.011256933212280273,5,0.7,3,2.5,0.2,2.0,0.1
2130,relation_graph,temporal_relation,37,4,4,0,0.009737253189086914,5,0.7,3,2.5,0.2,2.0,0.1
2140,relation_graph,temporal_relation,38,4,4,0,0.010044574737548828,5,0.7,3,2.5,0.2,2.0,0.1
2150,relation_graph,temporal_relation,38,4,4,0,0.00984811782836914,5,0.7,3,2.5,0.2,2.0,0.1
2160,relation_graph,temporal_relation,34,6,6,0,0.009679794311523438,5,0.7,3,2.5,0.2,2.0,0.1
2170,relation_graph,temporal_relation,34,5,5,0,0.010917901992797852,5,0.7,3,2.5,0.2,2.0,0.1
2180,relation_graph,temporal_relation,36,5,5,0,0.012072086334228516,5,0.7,3,2.5,0.2,2.0,0.1
2190,relation_graph,temporal_relation,40,5,5,0,0.010304927825927734,5,0.7,3,2.5,0.2,2.0,0.1
2200,relation_graph,temporal_relation,40,6,6,0,0.010565996170043945,5,0.7,3,2.5,0.2,2.0,0.1
2210,relation_graph,temporal_relation,38,6,6,0,0.009659290313720703,5,0.7,3,2.5,0.2,2.0,0.1
2220,relation_graph,temporal_relation,36,4,4,0,0.008752107620239258,5,0.7,3,2.5,0.2,2.0,0.1
2230,relation_graph,temporal_relation,35,3,3,0,0.008530139923095703,5,0.7,3,2.5,0.2,2.0,0.1
2240,relation_graph,temporal_relation,33,4,4,0,0.007593393325805664,5,0.7,3,2.5,0.2,2.0,0.1
2250,relation_graph,temporal_relation,31,3,3,0,0.00687098503112793,5,0.7,3,2.5,0.2,2.0,0.1
2260,relation_graph,temporal_relation,32,4,4,0,0.007945537567138672,5,0.7,3,2.5,0.2,2.0,0.1
2270,relation_graph,temporal_relation,32,3,3,0,0.009525537490844727,5,0.7,3,2.5,0.2,2.0,0.1
2280,relation_graph,temporal_relation,32,3,3,0,0.010659456253051758,5,0.7,3,2.5,0.2,2.0,0.1
2290,relation_graph,temporal_relation,34,3,3,0,0.007873058319091797,5,0.7,3,2.5,0.2,2.0,0.1
2300,relation_graph,temporal_relation,32,3,3,0,0.007067441940307617,5,0.7,3,2.5,0.2,2.0,0.1
2310,relation_graph,temporal_relation,39,2,2,0,0.009328365325927734,5,0.7,3,2.5,0.2,2.0,0.1
2320,relation_graph,temporal_relation,41,3,3,0,0.010468006134033203,5,0.7,3,2.5,0.2,2.0,0.1
2330,relation_graph,temporal_relation,41,3,3,0,0.01091313362121582,5,0.7,3,2.5,0.2,2.0,0.1
2340,relation_graph,temporal_relation,44,5,5,0,0.012339591979980469,5,0.7,3,2.5,0.2,2.0,0.1
2350,relation_graph,temporal_relation,48,5,5,0,0.01440119743347168,5,0.7,3,2.5,0.2,2.0,0.1
2360,relation_graph,temporal_relation,48,4,4,0,0.02059030532836914,5,0.7,3,2.5,0.2,2.0,0.1
2370,relation_graph,temporal_relation,47,3,3,0,0.01630258560180664,5,0.7,3,2.5,0.2,2.0,0.1
2380,relation_graph,temporal_relation,47,3,3,0,0.014952421188354492,5,0.7,3,2.5,0.2,2.0,0.1
